  Time   ChainA   ChainB   ChainC    ChainD
 460.00  0.3174   0.3184   0.4281    0.2171
 470.00  0.3257   0.3053   0.4174    0.2195
 480.00  0.3261   0.3163   0.4158    0.2243
 490.00  0.3210   0.3070   0.4004    0.2258
 500.00  0.3268   0.2948   0.3740    0.2087
 510.00  0.3177   0.3046   0.3752    0.2074
 520.00  0.2996   0.3080   0.3776    0.2005
 530.00  0.3019   0.3206   0.3751    0.2284
 540.00  0.2850   0.3057   0.3792    0.2215
 550.00  0.3005   0.3212   0.3862    0.2191
 560.00  0.2949   0.3318   0.3714    0.2196
 570.00  0.2984   0.3254   0.3857    0.2222
 580.00  0.2937   0.3309   0.4050    0.2253
 590.00  0.2969   0.3370   0.3634    0.2174
 600.00  0.3013   0.3323   0.3881    0.2303
 610.00  0.2918   0.3572   0.3772    0.2322
 620.00  0.2943   0.3793   0.3691    0.2248
 630.00  0.2993   0.3557   0.3709    0.2313
 640.00  0.3249   0.3498   0.3634    0.2316
 650.00  0.3121   0.3377   0.3582    0.2251
 660.00  0.3158   0.3426   0.3662    0.2310
 670.00  0.3237   0.3483   0.3544    0.2289
 680.00  0.3135   0.3515   0.3475    0.2270
 690.00  0.3254   0.3450   0.3476    0.2321
 700.00  0.3185   0.3473   0.3464    0.2263
 710.00  0.3107   0.3549   0.3623    0.2234
 720.00  0.3177   0.3417   0.3577    0.2301
 730.00  0.3014   0.3365   0.3758    0.2341
 740.00  0.2891   0.3372   0.3743    0.2249
 750.00  0.3005   0.3322   0.3792    0.2327
 760.00  0.2964   0.3231   0.3908    0.2270
 770.00  0.2987   0.3309   0.3700    0.2275
 780.00  0.3006   0.3356   0.3889    0.2223
 790.00  0.2900   0.3272   0.3755    0.2240
 800.00  0.3269   0.3338   0.3819    0.2163
 810.00  0.3156   0.3372   0.3659    0.2123
 820.00  0.3051   0.3253   0.4001    0.2244
 830.00  0.3018   0.3010   0.4038    0.2347
 840.00  0.2792   0.2901   0.4120    0.2387
 850.00  0.2798   0.3152   0.3993    0.2290
 860.00  0.3062   0.3091   0.3890    0.2239
 870.00  0.3086   0.3173   0.3691    0.2181
 880.00  0.3063   0.3281   0.3691    0.2108
 890.00  0.3056   0.3358   0.3821    0.2208
 900.00  0.3070   0.3492   0.3743    0.2325
 910.00  0.3193   0.3313   0.3838    0.2412
 920.00  0.3011   0.3282   0.4055    0.2419
 930.00  0.3021   0.3370   0.4007    0.2447
 940.00  0.2906   0.3328   0.3806    0.2408
 950.00  0.2969   0.3370   0.3984    0.2434
 960.00  0.2923   0.3316   0.4037    0.2340
 970.00  0.3021   0.3318   0.4137    0.2325
 980.00  0.2795   0.3406   0.3998    0.2551
 990.00  0.2796   0.3485   0.4121    0.2476
1000.00  0.2836   0.3432   0.4054    0.2379
1010.00  0.2861   0.3503   0.4096    0.2292
1020.00  0.2758   0.3546   0.4026    0.2262
1030.00  0.2906   0.3612   0.4058    0.2405
1040.00  0.3065   0.3519   0.4027    0.2332
1050.00  0.3035   0.3511   0.4192    0.2424
1060.00  0.3000   0.3511   0.4012    0.2228
1070.00  0.2950   0.3359   0.4042    0.2308
1080.00  0.2913   0.3476   0.3924    0.2269
1090.00  0.3047   0.3333   0.4044    0.2302
1100.00  0.2972   0.3371   0.4120    0.2255
1110.00  0.3037   0.3522   0.4094    0.2398
1120.00  0.2992   0.3385   0.3831    0.2194
1130.00  0.2943   0.3557   0.4058    0.2282
1140.00  0.2883   0.3457   0.3832    0.2331
1150.00  0.2996   0.3263   0.3977    0.2449
1160.00  0.2950   0.3268   0.4048    0.2414
1170.00  0.2974   0.3352   0.4039    0.2312
1180.00  0.2845   0.3442   0.4058    0.2345
1190.00  0.2874   0.3359   0.3910    0.2318
1200.00  0.3028   0.3415   0.3748    0.2378
1210.00  0.3205   0.3501   0.3885    0.2433
1220.00  0.3204   0.3715   0.3874    0.2379
1230.00  0.2961   0.3581   0.3904    0.2359
1240.00  0.2837   0.3572   0.3609    0.2446
1250.00  0.2788   0.3515   0.3813    0.2434
1260.00  0.2919   0.3414   0.3916    0.2417
1270.00  0.3068   0.3244   0.3970    0.2532
1280.00  0.3066   0.3407   0.3917    0.2509
1290.00  0.3092   0.3416   0.3646    0.2501
1300.00  0.2796   0.3364   0.3744    0.2390
1310.00  0.2746   0.3401   0.4014    0.2455
1320.00  0.2883   0.3493   0.4023    0.2485
1330.00  0.2969   0.3573   0.3934    0.2724
1340.00  0.3048   0.3671   0.3684    0.2794
1350.00  0.3049   0.3458   0.3859    0.2720
1360.00  0.3123   0.3544   0.3897    0.2635
1370.00  0.3244   0.3546   0.3851    0.2652
1380.00  0.3103   0.3508   0.3903    0.2789
1390.00  0.2943   0.3669   0.3765    0.2534
1400.00  0.3101   0.3755   0.3683    0.2754
1410.00  0.3126   0.3705   0.3745    0.2934
1420.00  0.3190   0.3579   0.3538    0.2837
1430.00  0.3133   0.3562   0.3404    0.2824
1440.00  0.3188   0.3720   0.3496    0.2869
1450.00  0.3153   0.3904   0.3844    0.2871
1460.00  0.3161   0.3716   0.3743    0.2906
1470.00  0.3146   0.3817   0.3523    0.2967
1480.00  0.3214   0.3628   0.3571    0.2819
1490.00  0.2982   0.3475   0.3525    0.2803
1500.00  0.2921   0.3617   0.3509    0.2838
1510.00  0.2946   0.3612   0.3725    0.2866
1520.00  0.2996   0.3561   0.3658    0.2985
1530.00  0.2829   0.3579   0.3700    0.2885
1540.00  0.2967   0.3498   0.3563    0.2910
1550.00  0.2860   0.3453   0.3488    0.2941
1560.00  0.3083   0.3611   0.3839    0.2952
1570.00  0.3007   0.3341   0.3826    0.2795
1580.00  0.2916   0.3441   0.3750    0.2733
1590.00  0.2900   0.3425   0.3855    0.2538
1600.00  0.2871   0.3526   0.3830    0.2532
1610.00  0.2926   0.3323   0.3984    0.2616
1620.00  0.2864   0.3312   0.4018    0.2566
1630.00  0.2959   0.3443   0.4090    0.2589
1640.00  0.3030   0.3442   0.4050    0.2609
1650.00  0.3172   0.3550   0.3974    0.2653
1660.00  0.3062   0.3492   0.4103    0.2497
1670.00  0.2937   0.3462   0.3917    0.2364
1680.00  0.2933   0.3517   0.3821    0.2520
1690.00  0.2843   0.3529   0.3946    0.2398
1700.00  0.2820   0.3479   0.3794    0.2400
1710.00  0.2810   0.3500   0.3750    0.2535
1720.00  0.2860   0.3377   0.3764    0.2528
1730.00  0.2856   0.3332   0.3792    0.2683
1740.00  0.2895   0.3307   0.3807    0.2722
1750.00  0.2962   0.3370   0.3865    0.2695
1760.00  0.2846   0.3532   0.3682    0.2724
1770.00  0.2921   0.3506   0.3618    0.2577
1780.00  0.3005   0.3291   0.3640    0.2505
1790.00  0.2960   0.3545   0.3444    0.2501
1800.00  0.3196   0.3503   0.3617    0.2443
1810.00  0.2871   0.3488   0.3691    0.2440
1820.00  0.2770   0.3359   0.3686    0.2385
1830.00  0.2845   0.3461   0.3593    0.2392
1840.00  0.3064   0.3369   0.3626    0.2480
1850.00  0.3017   0.3173   0.3470    0.2504
1860.00  0.3088   0.3191   0.3438    0.2596
1870.00  0.3153   0.3240   0.3429    0.2586
1880.00  0.3106   0.3463   0.3565    0.2533
1890.00  0.2923   0.3539   0.3504    0.2632
1900.00  0.2989   0.3402   0.3433    0.2653
1910.00  0.2949   0.3550   0.3437    0.2730
1920.00  0.2899   0.3390   0.3463    0.2713
1930.00  0.2988   0.3293   0.3665    0.2585
1940.00  0.3152   0.3258   0.3452    0.2427
1950.00  0.3031   0.3478   0.3746    0.2454
1960.00  0.2759   0.3310   0.3842    0.2495
1970.00  0.2720   0.3265   0.3963    0.2530
1980.00  0.2847   0.3235   0.3645    0.2446
1990.00  0.2844   0.3424   0.3693    0.2492
2000.00  0.2826   0.3560   0.3665    0.2537
2010.00  0.2798   0.3666   0.3692    0.2491
2020.00  0.2843   0.3408   0.3546    0.2604
2030.00  0.2868   0.3424   0.3465    0.2660
2040.00  0.2891   0.3331   0.3489    0.2591
2050.00  0.2940   0.3466   0.3251    0.2470
2060.00  0.2799   0.3446   0.3397    0.2472
2070.00  0.2880   0.3247   0.3645    0.2440
2080.00  0.2819   0.3344   0.3474    0.2534
2090.00  0.2806   0.3032   0.3347    0.2594
2100.00  0.2774   0.3062   0.3435    0.2785
2110.00  0.2845   0.2931   0.3294    0.2584
2120.00  0.2969   0.3072   0.3394    0.2549
2130.00  0.3049   0.3130   0.3622    0.2664
2140.00  0.2925   0.3202   0.3415    0.2521
2150.00  0.2913   0.3018   0.3588    0.2562
2160.00  0.2758   0.3290   0.3704    0.2615
2170.00  0.2774   0.3415   0.3669    0.2665
2180.00  0.2845   0.3619   0.3727    0.2557
2190.00  0.2719   0.3502   0.3587    0.2540
2200.00  0.2723   0.3517   0.3761    0.2377
2210.00  0.2749   0.3539   0.3920    0.2428
2220.00  0.2665   0.3466   0.4032    0.2418
2230.00  0.2713   0.3596   0.3873    0.2414
2240.00  0.2626   0.3621   0.4006    0.2413
2250.00  0.2672   0.3725   0.3891    0.2478
2260.00  0.2609   0.3627   0.3848    0.2507
2270.00  0.2623   0.3638   0.3942    0.2756
2280.00  0.2659   0.3519   0.3670    0.2463
2290.00  0.2602   0.3522   0.3931    0.2494
2300.00  0.2565   0.3391   0.3851    0.2379
2310.00  0.2594   0.3496   0.3972    0.2545
2320.00  0.2644   0.3419   0.3808    0.2354
2330.00  0.2640   0.3156   0.3544    0.2385
2340.00  0.2860   0.3253   0.3514    0.2492
2350.00  0.2870   0.3340   0.3787    0.2742
2360.00  0.2799   0.3610   0.3593    0.2587
2370.00  0.2830   0.3805   0.3475    0.2799
2380.00  0.2844   0.3857   0.3354    0.2747
2390.00  0.3065   0.3812   0.3454    0.2665
2400.00  0.3084   0.3680   0.3376    0.2662
2410.00  0.3003   0.3661   0.3352    0.2423
2420.00  0.2966   0.3603   0.3369    0.2412
2430.00  0.3010   0.3553   0.3392    0.2487
2440.00  0.2904   0.3348   0.3486    0.2462
2450.00  0.2864   0.3216   0.3453    0.2404
2460.00  0.2897   0.3264   0.3445    0.2439
2470.00  0.3071   0.3204   0.3308    0.2379
2480.00  0.3070   0.3371   0.3437    0.2332
2490.00  0.3039   0.3398   0.3530    0.2420
2500.00  0.3001   0.3380   0.3567    0.2351
2510.00  0.3017   0.3431   0.3467    0.2370
2520.00  0.3006   0.3468   0.3409    0.2327
2530.00  0.2930   0.3353   0.3482    0.2376
2540.00  0.3140   0.3286   0.3301    0.2387
2550.00  0.3028   0.3234   0.3217    0.2348
2560.00  0.2844   0.3493   0.3194    0.2297
2570.00  0.2955   0.3632   0.3338    0.2371
2580.00  0.2888   0.3676   0.3272    0.2358
2590.00  0.2870   0.3469   0.3432    0.2205
2600.00  0.3031   0.3454   0.3493    0.2355
2610.00  0.3043   0.3552   0.3552    0.2410
2620.00  0.3056   0.3495   0.3575    0.2433
2630.00  0.3141   0.3607   0.3487    0.2505
2640.00  0.3288   0.3466   0.3565    0.2392
2650.00  0.3330   0.3270   0.3561    0.2335
2660.00  0.3377   0.3490   0.3543    0.2268
2670.00  0.3415   0.3482   0.3579    0.2380
2680.00  0.3430   0.3362   0.3657    0.2337
2690.00  0.3312   0.3542   0.3305    0.2374
2700.00  0.3488   0.3316   0.3359    0.2268
2710.00  0.3464   0.3303   0.3576    0.2109
2720.00  0.3405   0.3227   0.3779    0.2163
2730.00  0.3592   0.3200   0.3753    0.2217
2740.00  0.3428   0.3270   0.3807    0.2250
2750.00  0.3287   0.3200   0.3561    0.2318
2760.00  0.3276   0.3230   0.3570    0.2225
2770.00  0.3228   0.3198   0.3552    0.2486
2780.00  0.3427   0.3195   0.3664    0.2428
2790.00  0.3333   0.3227   0.3647    0.2536
2800.00  0.3167   0.3281   0.3730    0.2525
2810.00  0.3156   0.3416   0.3812    0.2622
2820.00  0.3315   0.3316   0.3862    0.2404
2830.00  0.3160   0.3294   0.3879    0.2359
2840.00  0.3108   0.3328   0.3959    0.2336
2850.00  0.3079   0.3074   0.4212    0.2275
2860.00  0.3001   0.3202   0.4084    0.2263
2870.00  0.3148   0.3077   0.3825    0.2191
2880.00  0.3048   0.3183   0.3485    0.2267
2890.00  0.3115   0.3190   0.3877    0.2174
2900.00  0.3013   0.3260   0.4019    0.2320
2910.00  0.3076   0.3253   0.4022    0.2279
2920.00  0.3356   0.3154   0.3814    0.2236
2930.00  0.3152   0.3334   0.3595    0.2363
2940.00  0.3020   0.3215   0.3425    0.2331
2950.00  0.3129   0.3186   0.3319    0.2280
2960.00  0.3092   0.3399   0.3301    0.2188
2970.00  0.3086   0.3382   0.3335    0.2200
2980.00  0.2967   0.3323   0.3387    0.2180
2990.00  0.3115   0.3311   0.3602    0.2142
3000.00  0.3010   0.3373   0.3544    0.2183
3010.00  0.2941   0.3206   0.3454    0.2262
3020.00  0.2983   0.3007   0.3344    0.2321
3030.00  0.2989   0.3019   0.3209    0.2239
3040.00  0.3160   0.3200   0.3442    0.2171
3050.00  0.3133   0.3380   0.3248    0.2346
3060.00  0.3203   0.3391   0.3302    0.2367
3070.00  0.3215   0.3129   0.3415    0.2368
3080.00  0.3105   0.3310   0.3552    0.2364
3090.00  0.2985   0.3311   0.3611    0.2326
3100.00  0.3108   0.3307   0.3675    0.2409
3110.00  0.3162   0.3251   0.3757    0.2397
3120.00  0.3075   0.2969   0.3669    0.2459
3130.00  0.3057   0.3227   0.3556    0.2478
3140.00  0.3062   0.3123   0.3846    0.2472
3150.00  0.3171   0.2927   0.3767    0.2514
3160.00  0.3031   0.3147   0.3846    0.2493
3170.00  0.2887   0.3132   0.3757    0.2480
3180.00  0.2787   0.3272   0.3590    0.2515
3190.00  0.2832   0.3270   0.3488    0.2441
3200.00  0.2921   0.3197   0.3405    0.2461
3210.00  0.3054   0.3259   0.3382    0.2532
3220.00  0.3070   0.3136   0.3404    0.2536
3230.00  0.3072   0.3365   0.3354    0.2387
3240.00  0.2972   0.3389   0.3250    0.2480
3250.00  0.3120   0.3552   0.3373    0.2447
3260.00  0.3086   0.3429   0.3251    0.2428
3270.00  0.3047   0.3297   0.3435    0.2426
3280.00  0.2950   0.3409   0.3529    0.2401
3290.00  0.3200   0.3257   0.3404    0.2536
3300.00  0.3220   0.3423   0.3430    0.2591
3310.00  0.3237   0.3317   0.3311    0.2473
3320.00  0.3094   0.3383   0.3324    0.2529
3330.00  0.3247   0.3383   0.3132    0.2533
3340.00  0.3483   0.3473   0.3084    0.2644
3350.00  0.3354   0.3352   0.2997    0.2571
3360.00  0.3263   0.3496   0.2987    0.2402
3370.00  0.3015   0.3527   0.3071    0.2382
3380.00  0.3197   0.3580   0.3386    0.2374
3390.00  0.3086   0.3748   0.3316    0.2427
3400.00  0.3163   0.3510   0.3345    0.2522
3410.00  0.3010   0.3558   0.3538    0.2551
3420.00  0.3026   0.3623   0.3567    0.2636
3430.00  0.3039   0.3636   0.3345    0.2581
3440.00  0.3068   0.3543   0.3373    0.2494
3450.00  0.2944   0.3400   0.3576    0.2495
3460.00  0.3020   0.3371   0.3655    0.2469
3470.00  0.3075   0.3228   0.3708    0.2400
3480.00  0.3069   0.3262   0.3384    0.2281
3490.00  0.3025   0.3412   0.3245    0.2475
3500.00  0.3087   0.3400   0.3049    0.2580
3510.00  0.3175   0.3374   0.2884    0.2516
3520.00  0.3175   0.3242   0.3068    0.2350
3530.00  0.3023   0.3149   0.3065    0.2506
3540.00  0.3089   0.3015   0.3180    0.2439
3550.00  0.3121   0.2929   0.3204    0.2481
3560.00  0.3036   0.2830   0.3136    0.2537
3570.00  0.3125   0.2973   0.3214    0.2501
3580.00  0.3243   0.2944   0.3165    0.2529
3590.00  0.3312   0.3063   0.3195    0.2561
3600.00  0.2857   0.3013   0.3279    0.2497
3610.00  0.2861   0.3151   0.3327    0.2580
3620.00  0.2901   0.3324   0.3106    0.2429
3630.00  0.2953   0.3124   0.2922    0.2438
3640.00  0.3116   0.3409   0.2930    0.2369
3650.00  0.3169   0.3233   0.2931    0.2442
3660.00  0.3217   0.3202   0.3087    0.2512
3670.00  0.3208   0.3364   0.2964    0.2517
3680.00  0.3023   0.3218   0.3197    0.2547
3690.00  0.2981   0.3222   0.3082    0.2503
3700.00  0.3110   0.3252   0.3124    0.2598
3710.00  0.3061   0.3275   0.3143    0.2636
3720.00  0.3222   0.3413   0.3066    0.2629
3730.00  0.3051   0.2965   0.3047    0.2675
3740.00  0.2915   0.3013   0.2994    0.2620
3750.00  0.2894   0.3010   0.3005    0.2665
3760.00  0.2823   0.2906   0.3172    0.2531
3770.00  0.2977   0.3074   0.3278    0.2648
3780.00  0.2957   0.3078   0.3265    0.2498
3790.00  0.3137   0.3025   0.2988    0.2490
3800.00  0.2871   0.2960   0.2981    0.2384
3810.00  0.3142   0.3015   0.3275    0.2491
3820.00  0.3196   0.2989   0.3332    0.2411
3830.00  0.3148   0.2878   0.3258    0.2409
3840.00  0.3108   0.3037   0.3238    0.2406
3850.00  0.3036   0.2984   0.3135    0.2446
3860.00  0.3045   0.3056   0.2993    0.2474
3870.00  0.2935   0.3040   0.2676    0.2411
3880.00  0.3089   0.3224   0.2820    0.2347
3890.00  0.3038   0.3124   0.2881    0.2598
3900.00  0.3056   0.3288   0.3000    0.2611
3910.00  0.2901   0.3292   0.2975    0.2617
3920.00  0.3088   0.3443   0.2758    0.2446
3930.00  0.3258   0.3509   0.2753    0.2475
3940.00  0.3109   0.3296   0.2762    0.2479
3950.00  0.3028   0.3378   0.2943    0.2569
3960.00  0.3054   0.3357   0.2923    0.2546
3970.00  0.3043   0.3424   0.2880    0.2639
3980.00  0.3085   0.3423   0.2895    0.2551
3990.00  0.2926   0.3189   0.3117    0.2619
4000.00  0.2967   0.3209   0.3300    0.2495
4010.00  0.3063   0.3429   0.3378    0.2401
4020.00  0.3007   0.3376   0.3147    0.2502
4030.00  0.3041   0.3536   0.3066    0.2526
4040.00  0.3081   0.3276   0.3031    0.2460
4050.00  0.3028   0.3456   0.3152    0.2519
4060.00  0.2956   0.3200   0.3113    0.2628
4070.00  0.3114   0.3394   0.3074    0.2632
4080.00  0.3008   0.3291   0.3310    0.2554
4090.00  0.2900   0.3133   0.3197    0.2356
4100.00  0.3073   0.3321   0.3092    0.2432
4110.00  0.3051   0.3257   0.2954    0.2461
4120.00  0.3019   0.3309   0.3131    0.2508
4130.00  0.3031   0.3161   0.3215    0.2586
4140.00  0.3220   0.3250   0.3050    0.2636
4150.00  0.3393   0.3408   0.3007    0.2483
4160.00  0.3409   0.3311   0.2884    0.2421
4170.00  0.3303   0.3530   0.2757    0.2602
4180.00  0.3316   0.3453   0.2831    0.2599
4190.00  0.3369   0.3417   0.2901    0.2555
4200.00  0.3395   0.3373   0.2876    0.2645
4210.00  0.3297   0.3394   0.3321    0.2481
4220.00  0.3294   0.3315   0.3128    0.2535
4230.00  0.3409   0.3247   0.3163    0.2430
4240.00  0.3456   0.3366   0.3398    0.2497
4250.00  0.3648   0.3374   0.3361    0.2462
4260.00  0.3430   0.3106   0.3294    0.2547
4270.00  0.3390   0.3122   0.3320    0.2386
4280.00  0.3530   0.3146   0.3283    0.2510
4290.00  0.3471   0.3136   0.3244    0.2607
4300.00  0.3724   0.3196   0.3582    0.2604
4310.00  0.3698   0.3045   0.3527    0.2556
4320.00  0.3634   0.3148   0.3248    0.2508
4330.00  0.3633   0.3414   0.3233    0.2577
4340.00  0.3697   0.3354   0.3242    0.2646
4350.00  0.3843   0.3349   0.3224    0.2739
4360.00  0.3694   0.3313   0.3219    0.2751
4370.00  0.3735   0.3344   0.3236    0.2660
4380.00  0.3851   0.3335   0.3240    0.2624
4390.00  0.3880   0.3370   0.3300    0.2644
4400.00  0.3947   0.3356   0.3356    0.2581
4410.00  0.3826   0.3145   0.3386    0.2562
4420.00  0.3650   0.3229   0.3638    0.2668
4430.00  0.3672   0.3433   0.3665    0.2517
4440.00  0.3766   0.3289   0.3530    0.2729
4450.00  0.3697   0.3177   0.3668    0.2709
4460.00  0.3755   0.3095   0.3732    0.2594
4470.00  0.3942   0.3215   0.3753    0.2532
4480.00  0.3993   0.3180   0.3666    0.2744
4490.00  0.3945   0.3042   0.3442    0.2767
4500.00  0.3927   0.3200   0.3669    0.2751
4510.00  0.4073   0.3068   0.3809    0.2762
4520.00  0.3748   0.3065   0.3760    0.2683
4530.00  0.3750   0.3262   0.3620    0.2775
4540.00  0.3773   0.3125   0.3549    0.2721
4550.00  0.3840   0.3202   0.3595    0.2950
4560.00  0.3710   0.3081   0.3261    0.2882
4570.00  0.3746   0.2853   0.3334    0.2809
4580.00  0.3767   0.2896   0.3417    0.2753
4590.00  0.3596   0.3020   0.3108    0.2884
4600.00  0.3572   0.2963   0.2950    0.2822
4610.00  0.3420   0.3274   0.2954    0.2751
4620.00  0.3394   0.3530   0.2998    0.2826
4630.00  0.3461   0.3335   0.2860    0.2843
4640.00  0.3412   0.3159   0.2796    0.2821
4650.00  0.3486   0.3089   0.2806    0.2726
4660.00  0.3360   0.3065   0.3072    0.2822
4670.00  0.3202   0.3187   0.3354    0.2720
4680.00  0.3261   0.3237   0.3185    0.2714
4690.00  0.3393   0.3360   0.3053    0.2774
4700.00  0.3268   0.3577   0.3057    0.2875
4710.00  0.3273   0.3614   0.3062    0.2909
4720.00  0.3228   0.3758   0.3023    0.2836
4730.00  0.3349   0.3571   0.2988    0.2908
4740.00  0.3284   0.3650   0.3258    0.2764
4750.00  0.3249   0.3376   0.3275    0.2807
4760.00  0.3189   0.3530   0.3002    0.2834
4770.00  0.3330   0.3554   0.2994    0.2759
4780.00  0.3341   0.3567   0.3084    0.2688
4790.00  0.3324   0.3388   0.2745    0.2652
4800.00  0.3203   0.3509   0.2664    0.2666
4810.00  0.3244   0.3359   0.2501    0.2727
4820.00  0.3356   0.3408   0.2667    0.2761
4830.00  0.3365   0.3344   0.2574    0.2679
4840.00  0.3167   0.3323   0.2678    0.2715
4850.00  0.3371   0.3482   0.2631    0.2573
4860.00  0.3384   0.3329   0.2832    0.2654
4870.00  0.3247   0.3408   0.2925    0.2616
4880.00  0.3240   0.3484   0.2878    0.2576
4890.00  0.3271   0.3436   0.2637    0.2626
4900.00  0.3200   0.3318   0.2664    0.2631
4910.00  0.3065   0.3320   0.2876    0.2607
4920.00  0.3013   0.3083   0.2779    0.2478
4930.00  0.3168   0.3216   0.2780    0.2581
4940.00  0.3293   0.3178   0.2748    0.2749
4950.00  0.3425   0.3186   0.2839    0.2940
4960.00  0.3353   0.3206   0.2489    0.2807
4970.00  0.3369   0.3324   0.2561    0.2704
4980.00  0.3279   0.3134   0.2510    0.2580
4990.00  0.3144   0.3158   0.2589    0.2597
5000.00  0.3168   0.3432   0.2874    0.2772
5010.00  0.3006   0.3179   0.3010    0.2850
5020.00  0.3033   0.3355   0.3003    0.2877
5030.00  0.3181   0.3291   0.2944    0.2855
5040.00  0.3092   0.3259   0.2964    0.2922
5050.00  0.3366   0.3117   0.3018    0.2780
5060.00  0.3380   0.3047   0.3097    0.2877
5070.00  0.3366   0.3154   0.3119    0.2844
5080.00  0.3355   0.3094   0.3143    0.2838
5090.00  0.3316   0.3173   0.3166    0.2832
5100.00  0.3228   0.3369   0.2901    0.2754
5110.00  0.3113   0.3253   0.3073    0.2841
5120.00  0.3033   0.3281   0.3290    0.2729
5130.00  0.3056   0.3423   0.3409    0.2816
5140.00  0.3068   0.3535   0.3581    0.2961
5150.00  0.3061   0.3391   0.3494    0.2851
5160.00  0.3051   0.3416   0.3371    0.2901
5170.00  0.2993   0.3535   0.3256    0.2799
5180.00  0.3254   0.3511   0.3195    0.2658
5190.00  0.3366   0.3454   0.3559    0.2646
5200.00  0.3153   0.3398   0.3619    0.2563
5210.00  0.3324   0.3479   0.3402    0.2487
5220.00  0.3380   0.3159   0.3429    0.2415
5230.00  0.3665   0.3118   0.3244    0.2350
5240.00  0.3541   0.3046   0.3280    0.2533
5250.00  0.3187   0.3119   0.3165    0.2604
5260.00  0.3103   0.3093   0.3077    0.2767
5270.00  0.3065   0.2882   0.3111    0.2595
5280.00  0.3047   0.2998   0.3026    0.2761
5290.00  0.3104   0.3081   0.3196    0.2707
5300.00  0.3063   0.2992   0.3074    0.2606
5310.00  0.3038   0.3048   0.3201    0.2660
5320.00  0.3255   0.3109   0.3190    0.2541
5330.00  0.3139   0.3301   0.3033    0.2664
5340.00  0.3289   0.3332   0.3175    0.2580
5350.00  0.3192   0.3365   0.3353    0.2641
5360.00  0.3129   0.3344   0.3297    0.2560
5370.00  0.3162   0.3307   0.3426    0.2527
5380.00  0.3160   0.3167   0.3322    0.2594
5390.00  0.3309   0.3308   0.2987    0.2482
5400.00  0.3000   0.3346   0.3165    0.2750
5410.00  0.2949   0.3303   0.3138    0.2803
5420.00  0.2915   0.3376   0.3388    0.3029
5430.00  0.2950   0.3485   0.3478    0.3147
5440.00  0.2990   0.3320   0.3722    0.3067
5450.00  0.3056   0.3240   0.3562    0.2966
5460.00  0.2872   0.3297   0.3433    0.3103
5470.00  0.3201   0.3246   0.3578    0.3183
5480.00  0.3049   0.3417   0.3650    0.3084
5490.00  0.2867   0.3380   0.3520    0.2988
5500.00  0.2911   0.3545   0.3541    0.2825
5510.00  0.2936   0.3252   0.3317    0.2930
5520.00  0.2872   0.3339   0.3557    0.3026
5530.00  0.2779   0.3357   0.3575    0.3045
5540.00  0.2749   0.3295   0.3243    0.3004
5550.00  0.2756   0.3547   0.3288    0.2904
5560.00  0.2633   0.3329   0.3363    0.2914
5570.00  0.2877   0.3325   0.3309    0.2909
